order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,expected_amount,year,month,day,quarter,weekday,week_of_year,is_weekend,basket_size,avg_order_value,product_rank,top_product_flag
691,2022-04-01,Sandwich,Fastfood,60,7,420,Cash,Mrs.,Evening,420,2022,4,1,2,Friday,13,False,7,420,1.0,True
623,2022-04-02,Cold Coffee,Beverages,40,15,600,Cash,Mr.,Midnight,600,2022,4,2,2,Saturday,13,True,15,600,3.0,True
572,2022-04-02,Sandwich,Fastfood,60,15,900,Cash,Mr.,Afternoon,900,2022,4,2,2,Saturday,13,True,15,900,1.0,True
520,2022-04-03,Panipuri,Fastfood,20,11,220,Online,Mrs.,Night,220,2022,4,3,2,Sunday,13,True,11,220,5.0,True
413,2022-04-03,Aalopuri,Fastfood,20,10,200,Online,Mrs.,Midnight,200,2022,4,3,2,Sunday,13,True,10,200,6.0,False
394,2022-04-03,Sandwich,Fastfood,60,1,60,Cash,Mrs.,Morning,60,2022,4,3,2,Sunday,13,True,1,60,1.0,True
605,2022-04-04,Cold Coffee,Beverages,40,15,600,Unknown,Mrs.,Afternoon,600,2022,4,4,2,Monday,14,False,15,600,3.0,True
510,2022-04-04,Sandwich,Fastfood,60,14,840,Online,Mr.,Afternoon,840,2022,4,4,2,Monday,14,False,14,840,1.0,True
334,2022-04-04,Cold Coffee,Beverages,40,4,160,Cash,Mrs.,Evening,160,2022,4,4,2,Monday,14,False,4,160,3.0,True
906,2022-04-04,Sandwich,Fastfood,60,15,900,Cash,Mr.,Afternoon,900,2022,4,4,2,Monday,14,False,15,900,1.0,True
66,2022-04-05,Frankie,Fastfood,50,2,100,Cash,Mrs.,Morning,100,2022,4,5,2,Tuesday,14,False,2,100,2.0,True
650,2022-04-07,Sandwich,Fastfood,60,13,780,Online,Mrs.,Morning,780,2022,4,7,2,Thursday,14,False,13,780,1.0,True
928,2022-04-07,Sandwich,Fastfood,60,11,660,Online,Mr.,Evening,660,2022,4,7,2,Thursday,14,False,11,660,1.0,True
791,2022-04-07,Vadapav,Fastfood,20,3,60,Unknown,Mr.,Midnight,60,2022,4,7,2,Thursday,14,False,3,60,7.0,False
500,2022-04-08,Vadapav,Fastfood,20,4,80,Online,Mrs.,Midnight,80,2022,4,8,2,Friday,14,False,4,80,7.0,False
618,2022-04-08,Frankie,Fastfood,50,1,50,Online,Mr.,Evening,50,2022,4,8,2,Friday,14,False,1,50,2.0,True
126,2022-04-08,Panipuri,Fastfood,20,11,220,Online,Mrs.,Night,220,2022,4,8,2,Friday,14,False,11,220,5.0,True
587,2022-04-09,Aalopuri,Fastfood,20,10,200,Cash,Mrs.,Night,200,2022,4,9,2,Saturday,14,True,10,200,6.0,False
606,2022-04-09,Cold Coffee,Beverages,40,6,240,Cash,Mrs.,Night,240,2022,4,9,2,Saturday,14,True,6,240,3.0,True
762,2022-04-09,Vadapav,Fastfood,20,12,240,Online,Mrs.,Midnight,240,2022,4,9,2,Saturday,14,True,12,240,7.0,False
911,2022-04-09,Sandwich,Fastfood,60,1,60,Cash,Mr.,Evening,60,2022,4,9,2,Saturday,14,True,1,60,1.0,True
543,2022-04-10,Aalopuri,Fastfood,20,15,300,Cash,Mrs.,Evening,300,2022,4,10,2,Sunday,14,True,15,300,6.0,False
925,2022-04-10,Frankie,Fastfood,50,4,200,Online,Mrs.,Afternoon,200,2022,4,10,2,Sunday,14,True,4,200,2.0,True
125,2022-04-10,Vadapav,Fastfood,20,7,140,Cash,Mrs.,Midnight,140,2022,4,10,2,Sunday,14,True,7,140,7.0,False
203,2022-04-11,Vadapav,Fastfood,20,6,120,Online,Mrs.,Midnight,120,2022,4,11,2,Monday,15,False,6,120,7.0,False
715,2022-04-12,Sandwich,Fastfood,60,1,60,Online,Mr.,Morning,60,2022,4,12,2,Tuesday,15,False,1,60,1.0,True
889,2022-04-12,Vadapav,Fastfood,20,10,200,Online,Mr.,Midnight,200,2022,4,12,2,Tuesday,15,False,10,200,7.0,False
16,2022-04-14,Sandwich,Fastfood,60,11,660,Unknown,Mrs.,Midnight,660,2022,4,14,2,Thursday,15,False,11,660,1.0,True
549,2022-04-15,Sugarcane Juice,Beverages,25,3,75,Online,Mr.,Afternoon,75,2022,4,15,2,Friday,15,False,3,75,4.0,True
231,2022-04-16,Sugarcane Juice,Beverages,25,3,75,Unknown,Mr.,Night,75,2022,4,16,2,Saturday,15,True,3,75,4.0,True
555,2022-04-16,Sandwich,Fastfood,60,6,360,Cash,Mrs.,Evening,360,2022,4,16,2,Saturday,15,True,6,360,1.0,True
230,2022-04-16,Frankie,Fastfood,50,6,300,Online,Mr.,Afternoon,300,2022,4,16,2,Saturday,15,True,6,300,2.0,True
248,2022-04-17,Frankie,Fastfood,50,5,250,Online,Mrs.,Midnight,250,2022,4,17,2,Sunday,15,True,5,250,2.0,True
675,2022-04-17,Sandwich,Fastfood,60,12,720,Cash,Mr.,Night,720,2022,4,17,2,Sunday,15,True,12,720,1.0,True
976,2022-04-17,Sugarcane Juice,Beverages,25,11,275,Unknown,Mrs.,Morning,275,2022,4,17,2,Sunday,15,True,11,275,4.0,True
211,2022-04-18,Aalopuri,Fastfood,20,12,240,Cash,Mr.,Morning,240,2022,4,18,2,Monday,16,False,12,240,6.0,False
313,2022-04-19,Cold Coffee,Beverages,40,1,40,Cash,Mr.,Midnight,40,2022,4,19,2,Tuesday,16,False,1,40,3.0,True
168,2022-04-19,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Midnight,240,2022,4,19,2,Tuesday,16,False,4,240,1.0,True
815,2022-04-20,Cold Coffee,Beverages,40,12,480,Online,Mrs.,Afternoon,480,2022,4,20,2,Wednesday,16,False,12,480,3.0,True
680,2022-04-20,Cold Coffee,Beverages,40,4,160,Cash,Mr.,Night,160,2022,4,20,2,Wednesday,16,False,4,160,3.0,True
846,2022-04-20,Aalopuri,Fastfood,20,5,100,Online,Mr.,Afternoon,100,2022,4,20,2,Wednesday,16,False,5,100,6.0,False
391,2022-04-21,Aalopuri,Fastfood,20,1,20,Online,Mrs.,Night,20,2022,4,21,2,Thursday,16,False,1,20,6.0,False
424,2022-04-21,Sugarcane Juice,Beverages,25,9,225,Online,Mrs.,Midnight,225,2022,4,21,2,Thursday,16,False,9,225,4.0,True
293,2022-04-21,Panipuri,Fastfood,20,8,160,Online,Mrs.,Morning,160,2022,4,21,2,Thursday,16,False,8,160,5.0,True
694,2022-04-22,Panipuri,Fastfood,20,14,280,Cash,Mr.,Midnight,280,2022,4,22,2,Friday,16,False,14,280,5.0,True
882,2022-04-23,Panipuri,Fastfood,20,9,180,Online,Mr.,Morning,180,2022,4,23,2,Saturday,16,True,9,180,5.0,True
195,2022-04-23,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Night,240,2022,4,23,2,Saturday,16,True,4,240,1.0,True
581,2022-04-23,Sugarcane Juice,Beverages,25,13,325,Cash,Mr.,Afternoon,325,2022,4,23,2,Saturday,16,True,13,325,4.0,True
232,2022-04-23,Vadapav,Fastfood,20,13,260,Cash,Mrs.,Night,260,2022,4,23,2,Saturday,16,True,13,260,7.0,False
462,2022-04-24,Vadapav,Fastfood,20,3,60,Cash,Mr.,Morning,60,2022,4,24,2,Sunday,16,True,3,60,7.0,False
378,2022-04-24,Vadapav,Fastfood,20,2,40,Cash,Mrs.,Midnight,40,2022,4,24,2,Sunday,16,True,2,40,7.0,False
122,2022-04-24,Panipuri,Fastfood,20,3,60,Unknown,Mrs.,Night,60,2022,4,24,2,Sunday,16,True,3,60,5.0,True
385,2022-04-25,Vadapav,Fastfood,20,5,100,Cash,Mr.,Morning,100,2022,4,25,2,Monday,17,False,5,100,7.0,False
310,2022-04-25,Vadapav,Fastfood,20,4,80,Cash,Mr.,Afternoon,80,2022,4,25,2,Monday,17,False,4,80,7.0,False
636,2022-04-26,Cold Coffee,Beverages,40,12,480,Unknown,Mr.,Morning,480,2022,4,26,2,Tuesday,17,False,12,480,3.0,True
238,2022-04-26,Vadapav,Fastfood,20,13,260,Cash,Mr.,Morning,260,2022,4,26,2,Tuesday,17,False,13,260,7.0,False
596,2022-04-26,Cold Coffee,Beverages,40,1,40,Online,Mrs.,Night,40,2022,4,26,2,Tuesday,17,False,1,40,3.0,True
190,2022-04-26,Cold Coffee,Beverages,40,1,40,Online,Mr.,Evening,40,2022,4,26,2,Tuesday,17,False,1,40,3.0,True
483,2022-04-27,Panipuri,Fastfood,20,9,180,Cash,Mrs.,Morning,180,2022,4,27,2,Wednesday,17,False,9,180,5.0,True
579,2022-04-27,Panipuri,Fastfood,20,2,40,Cash,Mr.,Evening,40,2022,4,27,2,Wednesday,17,False,2,40,5.0,True
801,2022-04-28,Aalopuri,Fastfood,20,7,140,Cash,Mrs.,Evening,140,2022,4,28,2,Thursday,17,False,7,140,6.0,False
783,2022-04-29,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Morning,160,2022,4,29,2,Friday,17,False,8,160,6.0,False
956,2022-04-30,Frankie,Fastfood,50,13,650,Online,Mr.,Morning,650,2022,4,30,2,Saturday,17,True,13,650,2.0,True
297,2022-04-30,Sandwich,Fastfood,60,10,600,Online,Mr.,Evening,600,2022,4,30,2,Saturday,17,True,10,600,1.0,True
986,2022-04-30,Sugarcane Juice,Beverages,25,13,325,Online,Mr.,Night,325,2022,4,30,2,Saturday,17,True,13,325,4.0,True
255,2022-04-30,Vadapav,Fastfood,20,7,140,Unknown,Mrs.,Afternoon,140,2022,4,30,2,Saturday,17,True,7,140,7.0,False
524,2022-05-01,Aalopuri,Fastfood,20,13,260,Online,Mr.,Afternoon,260,2022,5,1,2,Sunday,17,True,13,260,6.0,False
628,2022-05-02,Cold Coffee,Beverages,40,10,400,Unknown,Mrs.,Night,400,2022,5,2,2,Monday,18,False,10,400,3.0,True
271,2022-05-03,Vadapav,Fastfood,20,13,260,Cash,Mr.,Evening,260,2022,5,3,2,Tuesday,18,False,13,260,7.0,False
7,2022-05-03,Sugarcane Juice,Beverages,25,9,225,Cash,Mr.,Evening,225,2022,5,3,2,Tuesday,18,False,9,225,4.0,True
326,2022-05-03,Sandwich,Fastfood,60,8,480,Cash,Mr.,Evening,480,2022,5,3,2,Tuesday,18,False,8,480,1.0,True
290,2022-05-03,Panipuri,Fastfood,20,7,140,Cash,Mrs.,Morning,140,2022,5,3,2,Tuesday,18,False,7,140,5.0,True
676,2022-05-04,Frankie,Fastfood,50,7,350,Cash,Mrs.,Evening,350,2022,5,4,2,Wednesday,18,False,7,350,2.0,True
844,2022-05-04,Sugarcane Juice,Beverages,25,13,325,Cash,Mr.,Morning,325,2022,5,4,2,Wednesday,18,False,13,325,4.0,True
856,2022-05-04,Aalopuri,Fastfood,20,11,220,Cash,Mrs.,Night,220,2022,5,4,2,Wednesday,18,False,11,220,6.0,False
525,2022-05-04,Vadapav,Fastfood,20,3,60,Cash,Mr.,Midnight,60,2022,5,4,2,Wednesday,18,False,3,60,7.0,False
697,2022-05-05,Sugarcane Juice,Beverages,25,5,125,Cash,Mr.,Midnight,125,2022,5,5,2,Thursday,18,False,5,125,4.0,True
852,2022-05-05,Sugarcane Juice,Beverages,25,8,200,Online,Mr.,Night,200,2022,5,5,2,Thursday,18,False,8,200,4.0,True
322,2022-05-05,Cold Coffee,Beverages,40,11,440,Cash,Mr.,Morning,440,2022,5,5,2,Thursday,18,False,11,440,3.0,True
212,2022-05-05,Cold Coffee,Beverages,40,12,480,Online,Mrs.,Morning,480,2022,5,5,2,Thursday,18,False,12,480,3.0,True
665,2022-05-06,Aalopuri,Fastfood,20,14,280,Online,Mrs.,Evening,280,2022,5,6,2,Friday,18,False,14,280,6.0,False
383,2022-05-06,Aalopuri,Fastfood,20,7,140,Online,Mrs.,Morning,140,2022,5,6,2,Friday,18,False,7,140,6.0,False
338,2022-05-06,Sugarcane Juice,Beverages,25,12,300,Cash,Mr.,Morning,300,2022,5,6,2,Friday,18,False,12,300,4.0,True
32,2022-05-06,Aalopuri,Fastfood,20,4,80,Unknown,Mr.,Morning,80,2022,5,6,2,Friday,18,False,4,80,6.0,False
162,2022-05-07,Aalopuri,Fastfood,20,11,220,Cash,Mr.,Midnight,220,2022,5,7,2,Saturday,18,True,11,220,6.0,False
55,2022-05-07,Sandwich,Fastfood,60,10,600,Cash,Mr.,Night,600,2022,5,7,2,Saturday,18,True,10,600,1.0,True
46,2022-05-07,Vadapav,Fastfood,20,7,140,Cash,Mr.,Evening,140,2022,5,7,2,Saturday,18,True,7,140,7.0,False
964,2022-05-07,Cold Coffee,Beverages,40,8,320,Cash,Mr.,Evening,320,2022,5,7,2,Saturday,18,True,8,320,3.0,True
610,2022-05-08,Frankie,Fastfood,50,13,650,Online,Mrs.,Evening,650,2022,5,8,2,Sunday,18,True,13,650,2.0,True
839,2022-05-08,Sugarcane Juice,Beverages,25,4,100,Cash,Mrs.,Afternoon,100,2022,5,8,2,Sunday,18,True,4,100,4.0,True
805,2022-05-08,Sugarcane Juice,Beverages,25,1,25,Online,Mr.,Afternoon,25,2022,5,8,2,Sunday,18,True,1,25,4.0,True
373,2022-05-08,Sugarcane Juice,Beverages,25,12,300,Cash,Mrs.,Midnight,300,2022,5,8,2,Sunday,18,True,12,300,4.0,True
435,2022-05-08,Sandwich,Fastfood,60,1,60,Cash,Mrs.,Afternoon,60,2022,5,8,2,Sunday,18,True,1,60,1.0,True
100,2022-05-08,Panipuri,Fastfood,20,11,220,Unknown,Mr.,Morning,220,2022,5,8,2,Sunday,18,True,11,220,5.0,True
874,2022-05-09,Cold Coffee,Beverages,40,4,160,Cash,Mr.,Midnight,160,2022,5,9,2,Monday,19,False,4,160,3.0,True
345,2022-05-09,Panipuri,Fastfood,20,14,280,Online,Mrs.,Night,280,2022,5,9,2,Monday,19,False,14,280,5.0,True
42,2022-05-09,Aalopuri,Fastfood,20,8,160,Online,Mrs.,Night,160,2022,5,9,2,Monday,19,False,8,160,6.0,False
363,2022-05-09,Frankie,Fastfood,50,9,450,Online,Mr.,Afternoon,450,2022,5,9,2,Monday,19,False,9,450,2.0,True
719,2022-05-09,Vadapav,Fastfood,20,15,300,Cash,Mrs.,Midnight,300,2022,5,9,2,Monday,19,False,15,300,7.0,False
873,2022-05-09,Sugarcane Juice,Beverages,25,1,25,Online,Mr.,Night,25,2022,5,9,2,Monday,19,False,1,25,4.0,True
70,2022-05-09,Cold Coffee,Beverages,40,14,560,Unknown,Mrs.,Morning,560,2022,5,9,2,Monday,19,False,14,560,3.0,True
642,2022-05-09,Cold Coffee,Beverages,40,10,400,Online,Mrs.,Morning,400,2022,5,9,2,Monday,19,False,10,400,3.0,True
